no,lokasi,objek_wisata_seq
91,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Perkebunan Petani Bumiaji"
92,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Perkebunan Petani Bumiaji"
93,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Perkebunan Petani Bumiaji"
94,Malang,"Pantai Gua Cina,Pantai Balekambang,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Perkebunan Petani Bumiaji"
95,Malang,"Pantai Gua Cina,Pantai Balekambang,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Perkebunan Petani Bumiaji"
96,Malang,"Pantai Gua Cina,Pantai Balekambang,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Perkebunan Petani Bumiaji"
97,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Perkebunan Petani Bumiaji"
98,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Perkebunan Petani Bumiaji"
99,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Perkebunan Petani Bumiaji"
100,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Perkebunan Petani Bumiaji"
101,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Perkebunan Petani Bumiaji"
102,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Perkebunan Petani Bumiaji"
103,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Taman Langit – Oma Kayu Paralayang"
104,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Taman Langit – Oma Kayu Paralayang"
105,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Taman Langit – Oma Kayu Paralayang"
106,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Taman Langit – Oma Kayu Paralayang"
107,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Taman Langit – Oma Kayu Paralayang"
108,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Taman Langit – Oma Kayu Paralayang"
109,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Taman Langit – Oma Kayu Paralayang"
110,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Taman Langit – Oma Kayu Paralayang"
111,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Taman Langit – Oma Kayu Paralayang"
112,Malang,"Pantai Gua Cina,Pantai Balekambang,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Taman Langit – Oma Kayu Paralayang"
113,Malang,"Pantai Gua Cina,Pantai Balekambang,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Taman Langit – Oma Kayu Paralayang"
114,Malang,"Pantai Gua Cina,Pantai Balekambang,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Taman Langit – Oma Kayu Paralayang"
115,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Taman Langit – Oma Kayu Paralayang"
116,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Taman Langit – Oma Kayu Paralayang"
117,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Taman Langit – Oma Kayu Paralayang"
118,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Taman Langit – Oma Kayu Paralayang"
119,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Taman Langit – Oma Kayu Paralayang"
120,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Taman Langit – Oma Kayu Paralayang"
121,Malang,"Museum Angkut,Pananjakan,Widodaren Valley,Kawah Bromo,Gunung Batok,Pura Poten,Padang Savana Teletubies,Pasir Berbisik"
122,Malang,"Museum Angkut,Bukit Kingkong,Widodaren Valley,Kawah Bromo,Gunung Batok,Pura Poten,Padang Savana Teletubies,Pasir Berbisik"
123,Malang,"Museum Angkut,Bukit Cinta,Widodaren Valley,Kawah Bromo,Gunung Batok,Pura Poten,Padang Savana Teletubies,Pasir Berbisik"
124,Malang,"The Lodge Maribay,Pananjakan,Widodaren Valley,Kawah Bromo,Gunung Batok,Pura Poten,Padang Savana Teletubies,Pasir Berbisik"
125,Malang,"The Lodge Maribay,Bukit Kingkong,Widodaren Valley,Kawah Bromo,Gunung Batok,Pura Poten,Padang Savana Teletubies,Pasir Berbisik"
126,Bali,"The Lodge Maribay,Bukit Cinta,Widodaren Valley,Kawah Bromo,Gunung Batok,Pura Poten,Padang Savana Teletubies,Pasir Berbisik"
127,Bali,"Tanah Lot,Desa Panglipuran,Alas Harum,Pantai Kuta,Pantai Pandawa,Krisna"
128,Bali,"Tanah Lot,Desa Panglipuran,Alas Harum,Pantai Kuta,Pantai Melasti,Krisna"
129,Bali,"Tanah Lot,Desa Panglipuran,Alas Harum,Tanjung Benoa Water Sport,Pantai Pandawa,Krisna"
130,Bali,"Tanah Lot,Desa Panglipuran,Alas Harum,Tanjung Benoa Water Sport,Pantai Melasti,Krisna"
131,Bali,"Tanah Lot,Desa Panglipuran,Alas Harum,Pantai Kuta,Pantai Pandawa,Uluwatu,Krisna,Bedugul Ulun Danu Beratan"
132,Bali,"Tanah Lot,Desa Panglipuran,Alas Harum,Pantai Kuta,Pantai Pandawa,Uluwatu,Krisna,Bedugul Ulun Danu Beratan"
133,Bali,"Tanah Lot,Desa Panglipuran,Alas Harum,Pantai Kuta,Pantai Melasti,Uluwatu,Krisna,Bedugul Ulun Danu Beratan"
134,Bali,"Tanah Lot,Desa Panglipuran,Alas Harum,Pantai Kuta,Pantai Melasti,Uluwatu,Krisna,Bedugul Ulun Danu Beratan"
135,Bali,"Tanah Lot,Alas Harum,Desa Panglipuran,Pantai Kuta,Pantai Pandawa,Uluwatu,Krisna,Bedugul Ulun Danu Beratan"
136,Bali,"Tanah Lot,Alas Harum,Desa Panglipuran,Pantai Kuta,Pantai Pandawa,Uluwatu,Krisna,Bedugul Ulun Danu Beratan"
137,Bali,"Tanah Lot,Alas Harum,Desa Panglipuran,Pantai Kuta,Pantai Melasti,Uluwatu,Krisna,Bedugul Ulun Danu Beratan"
138,Bali,"Tanah Lot,Alas Harum,Desa Panglipuran,Pantai Kuta,Pantai Melasti,Uluwatu,Krisna,Bedugul Ulun Danu Beratan"
139,Bali,"Mengening Temple,The Lodge Maribay,Tegenungan Waterfall,Tegalalang Rice Terrace,Warung Dewa Malen"
140,Bali,"Taman Langit – Oma Kayu Paralayang,Pura Poten,Tanah Lot"
141,Bali,"Pulau Nusa Penida,Pantai Diamond,Kelingking Beach,Pasih Uug Beach"
142,Bali,"Bedugul Ulun Danu Beratan,Wanagiri Hidden Hills,Lovina Beach,Gilimanuk,Ijen Craters"
143,Bali,"Beer Brothers,Pulau Nusa Penida,Kelingking Beach,Broken Beach and Angel’s Billabong,Crystal Bay"
144,Bali,"Kehen Temple,Besakih Temple,Tirta Empul Temple,Mount Kawi,Elephant Cave"
145,Bali,"Badung Market Denpasar Bali,Catur Muka Statue,Kuta Puri Bungalows Spa"
146,Bali,"Sacred Monkey Forest Sanctuary,Tegalalang Rice Terrace,Tirta Empul Temple,Tegenungan Waterfall,D Alas Warung Restaurant,Terrace River Pool Swing"
147,Bali,"Sanur Morning Market,Kelingking Beach,Pasih Uug Beach,Pulau Nusa Penida,Pulau Nusa Penida,Crystal Bay"
148,Bali,"Nusa Dua Beach,Water Blow,Garuda Wisnu Kencana Cultural Park,Pantai Melasti,Dreamland Beach,Padang Padang Beach,Uluwatu,Kecak and Fire Dance,Jimbaran Bay,Sacred Monkey Forest Sanctuary,Ubud Traditional Art Market,Tegalalang Rice Terrace,Tirta Empul Temple,Tegenungan Waterfall,Sanur Morning Market,Tanah Lot,Batu Bolong Beach,Jatiluwih Green Land,Bedugul Ulun Danu Beratan,Handara Iconic Gate,Tamblingan Lake,Wanagiri Hidden Hills,Lempuyang Temple,Tirta Gangga,Ujung Water Palace,Asah Hill,Pantai Pasir Putih,Mount Agung,Seminyak Beach,Upside Down World,Sindhu Market,Bajra Sandhi Monument,Nyaman Gallery,Pantai Double Six,Seminyak Village,Pantai Canggu,Mount Batur,Sanur Morning Market,Campuhan Ridge Walk"
149,Bali,"Tegalalang Rice Terrace,Tegenungan Waterfall,Mas Carving Center,Elephant Cave,Sacred Monkey Forest Sanctuary,Ubud Traditional Art Market,Puri Saren Palace,D Alas Warung Restaurant"
150,Bali,"Lempuyang Temple,Tirta Gangga,Sidemen,Tukad Unda Dam"
151,Bali,"Sari Amerta Batik Collection,Celuk Village,Puseh Batuan Temple,Sacred Monkey Forest Sanctuary,Tegalalang Rice Terrace,Mount Batur,Lake Batur (Danau Batur),Mount Kawi,Tegenungan Waterfall"
152,Bali,"Pantai Diamond,Atuh Beach,Kelingking Beach,Pulau Nusa Penida"
153,Bali,"Padang Padang Beach,Uluwatu,Kecak and Fire Dance,Jimbaran Bay"
154,Bali,"Sacred Monkey Forest Sanctuary,Tegalalang Rice Terrace,D Alas Warung Restaurant,d'Alas Swing,Tirta Empul Temple,Tegenungan Waterfall,Tukad Cepung Waterfall,Tibumana Waterfall,Taman Langit – Oma Kayu Paralayang,Kanto Lampo Waterfall,Taman Langit – Oma Kayu Paralayang,Bedugul Ulun Danu Beratan,Wanagiri Hidden Hills,Jatiluwih Green Land,Tanah Lot"
155,Bali,"Sacred Monkey Forest Sanctuary,Tegalalang Rice Terrace,D Alas Warung Restaurant,Tirta Empul Temple,Tegenungan Waterfall,Ubud Traditional Art Market,Puri Saren Palace"
156,Bali,"Sacred Monkey Forest Sanctuary,Tirta Empul Temple,Tegenungan Waterfall,Pakudui Village,Kintamani,Bedugul Ulun Danu Beratan,Jatiluwih Green Land,Tanah Lot,Leke Leke Waterfall,Tirta Gangga,Lempuyang Temple,Tirta Gangga,Kanto Lampo Waterfall"
157,Bali,"Celuk Village,Puseh Batuan Temple,Tegenungan Waterfall,Tegalalang Rice Terrace,Sacred Monkey Forest Sanctuary,Ubud Traditional Art Market,Puri Saren Palace"
158,Bali,"Bedugul Ulun Danu Beratan,Jatiluwih Green Land,Luhur Batukaru Temple,Tanah Lot"
159,Bali,"Sanur Morning Market,Pasih Uug Beach,Broken Beach and Angel’s Billabong,Kelingking Beach,Crystal Bay"
160,Bali,"Tegenungan Waterfall,Tirta Empul Temple,Tegalalang Rice Terrace,Sacred Monkey Forest Sanctuary,Terrace River Pool Swing,Celuk Village"
161,Bali,"Lempuyang Temple,Tirta Gangga,Tukad Cepung Waterfall,Uma Pakel Agro Tourism,Tegalalang Rice Terrace"
162,Yogyakarta,"Sacred Monkey Forest Sanctuary,Tegalalang Rice Terrace,D Alas Warung Restaurant,Tirta Empul Temple,Tegenungan Waterfall"
163,Yogyakarta,"Candi Borobudur,Candi Mendut,Museum Merapi,Lava Tour Merapi,Malioboro"
164,Yogyakarta,"Candi Borobudur,Merapi Park,Candi Ijo,The Lodge Maribay,Malioboro"
165,Yogyakarta,"Candi Borobudur,Rumah Kamera,Kalibiru,Bringharjo,Malioboro"
166,Yogyakarta,"Candi Borobudur,Lava Tour Merapi,Tebing Breksi,Hutan Pinus,Malioboro"
167,Yogyakarta,"Candi Borobudur,Candi Prambanan,Parangtritis,Alun-alun Kidul,Malioboro"
168,Yogyakarta,"Candi Borobudur,Goa Pindul,Bukit Cinta,Alun-alun Kidul,Malioboro"
169,Yogyakarta,"Goa Pindul,Air Terjun Sri Gethuk,Bukit Cinta,Malioboro"
170,Yogyakarta,"Goa Pindul,Pok tunggal,Indrayanti,Krakal,Bukit Cinta,Malioboro"
171,Yogyakarta,"Parangtritis,Pantai Cemoro Sewu,Industri Jogja T-Shirt,Malioboro"
172,Yogyakarta,"Keraton,Batik Giriloyo,Malioboro"
173,Yogyakarta,"Lava Tour Merapi,Industri Jogja T-Shirt,Malioboro"
174,Yogyakarta,"Parangtritis,Pantai Cemoro Sewu,Gumuk Pasir,Industri Jogja T-Shirt"
175,Yogyakarta,"Malioboro,Candi Prambanan,Tebing Breksi"
176,Yogyakarta,"Pabrik Gula Maduksimo,Batik Giriloyo,Industri Jogja T-Shirt"
177,Yogyakarta,"Keraton,Taman Langit – Oma Kayu Paralayang,Malioboro"
178,Yogyakarta,"Ketep Pass,Candi Borobudur,Industri Jogja T-Shirt"
179,Yogyakarta,"Malioboro,Candi Borobudur,Industri Jogja T-Shirt"
180,Yogyakarta,"Lava Tour Merapi,Malioboro,Candi Prambanan,Tebing Breksi"
181,Yogyakarta,"Malioboro,Candi Prambanan,Tebing Breksi"
182,Yogyakarta,"Lava Tour Merapi,Agro Bhumi Merapi,Malioboro"
183,Yogyakarta,"Candi Prambanan,Goa Pindul,Sunset Heha Skyview"
184,Yogyakarta,"Candi Prambanan,Tebing Breksi,Museum Dirgantara"
185,Solo,"Kampung Wisata Batik Kauman,Candi Cetho,Candi Sukuh,Kemuning Hills"
186,Solo,"Kampung Wisata Batik Kauman,Pasar Triwindu,De Ranch,Rasa Madu Herritage"
187,Solo,"Rumah Atsiri,Grojogan Sewu,Tawangmangu Wonder Park"
188,Solo,"Pura Mangkunegaran,Kampung Wisata Batik Kauman,De Ranch"
189,Solo,"Candi Sukuh,Candi Cetho,Air Terjun Tawangmangu,Grojogan Sewu"
190,Solo,"Keraton Surakarta,Museum Batik Danar Hadi,Museum Radya Pustaka,Kampung Laweyan Batik"
191,Solo,"Pura Poten,Pasar Triwindu,Candi Sukuh,Grojogan Sewu"
192,Solo,"Candi Cetho,Pasar Triwindu,Candi Sukuh,Grojogan Sewu"
193,Solo,"Pura Mangkunegaran,Pasar Triwindu,Kampung Laweyan Batik"
194,Solo,"Candi Sukuh,Candi Cetho,Sapta Tirta"
195,Solo,"Grojogan Sewu,Pasar Klewer,Pura Poten"
196,Solo,"Museum Batik Danar Hadi,Pasar Klewer,Pura Poten"
197,Solo,"Keraton Surakarta,Kampung Laweyan Batik"
198,Solo,"Grojogan Sewu,Taman Langit – Oma Kayu Paralayang,Pasar Tawangmangu"
199,Solo,"Candi Sukuh,Kebun Teh Rancabali,Candi Cetho,Astana Giribangun"
200,Solo,"Pasar Triwindu,Pasar Klewer,Astana Giribangun"
201,Semarang,"Masjid Agung Jawa Tengah,Puri Saren Palace,Grojogan Sewu,Simpang Lima"
202,Semarang,"Dusun Semilir,Museum Kereta Ambarawa,Gumuk Reco Sepakung"
203,Semarang,"Grojogan Sewu,Watu Gunung Lerep,Goa kreo"
204,Semarang,"Dusun Semilir,Eling Bening,Umbul Sidomukti"
205,Semarang,"Gereja Blenduk,Kota Lama,Kelenteng Sam Poo Kong,Grojogan Sewu"
206,Semarang,"New Ayanaz,Taman Langit – Oma Kayu Paralayang,Candi Gedong Songo"
207,Semarang,"Eling Bening,The Lodge Maribay,Dusun Semilir"
208,Semarang,"Vihara Budhagaya,Grojogan Sewu,Dusun Semilir"
209,Semarang,"Umbul Sidomukti,Curug Lawe,Candi Gedong Songo,Museum Kereta Ambarawa"
210,Semarang,"Brown Canyon,Kampung Laweyan Batik,Grojogan Sewu,Kelenteng Sam Poo Kong,Kota Lama,Masjid Agung Jawa Tengah,Simpang Lima"
211,Semarang,"Pantai Marina,Pantai Tirang,Karimunjawa"
212,Semarang,"Bukit Cinta,Museum Kereta Ambarawa,Candi Gedong Songo"
213,Semarang,"Dusun Semilir,Umbul Sidomukti,Candi Gedong Songo"
214,Semarang,"Museum Kereta Ambarawa,Eling Bening,Dusun Semilir"
215,Semarang,"Grojogan Sewu,Kota Lama,Kelenteng Sam Poo Kong"
216,Semarang,"The Lodge Maribay,Pagoda Avalokitesvara Buddhagaya Watugong,Lawang Sewu,Kota Lama"
217,Semarang,"Dusun Semilir,Grojogan Sewu,Gereja Blenduk"
218,Semarang,"Taman Langit – Oma Kayu Paralayang,Museum Kereta Ambarawa,Candi Gedong Songo"
219,Semarang,"Umbul Sidomukti,Cimory On The Valley,Dusun Semilir"